0	31.2643019407
1	31.4423041407
2	35.328272462
3	35.9287173909
4	36.0983526032
5	39.5733639973
6	39.7366044543
7	39.8162902579
8	40.0098363169
9	40.066305108
10	40.1043786175
11	40.1188941478
12	40.0642501054
13	40.071036622
14	40.073171105
15	40.0660720185
16	39.9829783604
17	40.0135833513
18	40.0212350457
19	40.0139145531
20	39.9832034499
21	40.0437803274
22	39.9737509767
23	40.0182101238
24	39.9716742561
25	39.9572809319
26	39.8954167035
27	39.9212715071
28	39.8634985446
29	39.907366581
30	39.8104372253
31	39.8705995224
32	39.8523755485
33	39.895397397
34	39.9117944198
35	39.9041676369
36	39.8940528068
37	39.8688506753
38	39.8807028093
39	39.8698939717
40	39.8523305213
41	39.8377414239
42	39.829732292
43	39.8254891899
44	39.7438851198
45	39.7812734201
46	39.7913422649
47	39.7858763823
48	39.7808060105
49	39.775670738
50	39.7765712829
51	39.7676633294
52	39.6878641924
53	39.7225901342
54	39.729441169
55	39.7260584572
56	39.6717906384
57	39.6890044972
58	39.6761170806
59	39.6655634881
60	39.6455321119
61	39.6408038437
62	39.5893059768
63	39.6072098515
64	39.5939995166
65	39.5810146401
66	39.5690648864
67	39.5589399448
68	39.544322313
69	39.4485906886
70	39.4670721762
71	39.4628286693
72	39.4536429323
73	39.4321050236
74	39.4074181947
75	39.3836619068
76	38.6462954911
77	39.0574440401
78	39.1777219388
79	39.2293859434
80	39.321017352
81	39.3274846311
82	39.3045827322
83	39.2891505769
84	39.2710866651
85	39.2637882375
86	39.2207014249
87	39.074769831
88	39.1105877029
89	39.1150311372
90	39.0973183998
91	39.0542449638
92	39.0174002417
93	38.9617968431
94	38.9370251738
95	38.9404449678
96	38.922414496
97	38.7016088885
98	38.753279269
99	38.8314366019
100	37.6682887129
